iter,ratio,A_mean,A_sig,r_mean,r_sig,portion,scaling
1,0.1411111111111111,-0.4312501657764746,0.19525738335833298,1.9432384006456576,0.46602273829255025,0.4910893129326609,5.51575265481476
2,0.27,-0.3656825102013699,0.21801907951470573,1.8826967474929999,0.4546049330902851,0.48882717613539034,6.795157346400909
3,0.4894444444444444,-0.3306833793608726,0.2878400948148218,2.2234717391158556,0.47815478747797585,0.48158302760225535,5.425287698383999
4,0.6827777777777777,-0.3335737429789918,0.30232965540713985,2.315958020535754,0.4689819893323722,0.4913413948629061,5.707193012749744
5,0.7644444444444446,-0.3082745240297044,0.33103451319145144,2.257630676053568,0.454160466750954,0.4915109422558064,6.3681832215788825
6,0.7644444444444444,-0.3205897630821718,0.3234660773932936,2.243145071214974,0.43979024906188185,0.4917104809990624,6.702993073940258
7,0.7727777777777778,-0.319238588914779,0.32655621738920093,2.2454840745758724,0.43126975577542775,0.49396809018565285,7.072376406424003
8,0.7972222222222223,-0.3183259667445093,0.33000075487008484,2.296364575424966,0.4384716731319794,0.5065758555795941,7.304805466533638
9,0.7955555555555557,-0.3228011994496711,0.3230751672121469,2.2444112525587028,0.4287740336780462,0.49466480262289086,6.852847791814846
10,0.8122222222222223,-0.3241234855888489,0.325511100410543,2.345210316102031,0.44049819989783406,0.5063754590185207,7.434110275157769
11,0.8144444444444445,-0.338814395777543,0.31682979529529354,2.2038039332050605,0.39442265783624547,0.48227574667873946,7.5080775110357285
12,0.81,-0.3451490900012259,0.31402816757161545,2.1483647299334554,0.37870175266154765,0.47929403375272933,7.9996924965370795
13,0.8144444444444445,-0.3612084099683082,0.3066886547281347,2.1161618461955927,0.3550149577245966,0.47282545331905734,8.0629025071861
14,0.8127777777777777,-0.3589856855225804,0.3070347565356522,2.2246382328842156,0.37487805880345015,0.4758470985316814,8.234538431738935
15,0.8116666666666668,-0.34966837775583953,0.3127368680604983,2.1554743945754664,0.36989873328836825,0.46702807521053985,8.139241220918207
16,0.8150000000000001,-0.36225818591766507,0.3021831108091251,2.0968241966978156,0.3571265614823724,0.4635789397270806,7.660821955098701
17,0.8161111111111111,-0.36117344666981005,0.30399239827582575,2.2067274277716087,0.37532294831226437,0.47296076074937127,8.046029405526879
18,0.8127777777777778,-0.3615419289075793,0.30381255056633705,2.23338430814923,0.38021213589114705,0.4793994597119377,8.604748821143325
19,0.8194444444444446,-0.34569071891776826,0.31579048444178043,2.4283280117406543,0.4179729107239673,0.4960486207948119,9.547922455585296
20,0.8144444444444444,-0.34827378303654066,0.3134871104991784,2.4203309780965827,0.4176891123716374,0.49573755603796227,9.482157356449976
21,0.8194444444444444,-0.3476863095124161,0.3126059621666312,2.445341304759613,0.423352741132545,0.4979587044432227,9.446761958059293
22,0.8166666666666667,-0.34651385474646385,0.31227427867980556,2.4640294979258743,0.42696692412395837,0.5044463407128192,9.84931007118015
23,0.8188888888888889,-0.3419893802263735,0.3175864972119785,2.384285401308136,0.4104194201530183,0.49674804682285434,9.759256892142895
24,0.8172222222222222,-0.34238612287588555,0.3172436989188064,2.2820275196629125,0.3943544892221827,0.4908517971167022,9.622599204417535
25,0.8177777777777778,-0.34653914771136685,0.31697232746122145,2.181243269941118,0.3682978423052082,0.4822636638648089,9.55033234757232
26,0.8172222222222223,-0.34863614983820107,0.31629404658312527,2.150829372203207,0.3601314420117653,0.47825932520959286,9.37359359519083
27,0.815,-0.349590840909383,0.31816678470433046,2.070253471473597,0.3391884447966472,0.4695503137405491,9.237464380145745
28,0.8194444444444444,-0.35321178710227386,0.31289373320250136,2.134286525282144,0.35173932158207516,0.4764734302194674,9.272291035000933
29,0.8194444444444446,-0.35112256875457676,0.31596063536769853,2.074116502971465,0.34048950111399867,0.4718042105174605,9.270280657478187
30,0.8138888888888889,-0.34957337852079434,0.317489533866379,2.0900457675864015,0.34374938386010706,0.4730668437998,9.345821981528042
